tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat_q48,window_width,actual_window_size,predicted_label_hits,jitter_bits,apic_ticks,time_trust_q48,variance_q48
1,10000,10000,0,0,183,4,45,731,731,0,0,0,65536,0
2,20000,10000,0,0,173,5,44,582,582,0,0,0,65536,0
3,30000,10000,0,0,184,6,60,582,582,0,0,0,65536,0
4,40000,10000,0,0,174,8,71,4096,0,0,0,0,65536,0
5,50000,10000,0,0,150,9,78,582,582,0,0,0,65536,0
6,60000,10000,0,0,159,11,73,4096,0,0,0,0,65536,0
7,70000,10000,0,0,188,15,71,685,685,0,0,0,65536,0
8,80000,10000,0,0,214,16,83,685,685,0,0,0,65536,0
9,90000,10000,0,0,216,19,82,4096,0,0,0,0,65536,0
10,100000,10000,0,0,222,21,84,567,567,0,0,0,65536,0
11,110000,10000,0,0,207,23,86,731,731,0,0,0,65536,0
12,120000,10000,0,0,189,26,83,4096,0,0,0,0,65536,0
13,130000,10000,0,0,221,28,80,731,731,0,0,0,65536,0
14,140000,10000,0,0,204,29,83,685,685,0,0,0,65536,0
15,150000,10000,0,0,203,30,82,731,731,0,0,0,65536,0
16,160000,10000,0,0,201,32,83,567,567,0,0,0,65536,0
17,170000,10000,0,0,190,34,86,731,731,0,0,0,65536,0
18,180000,10000,0,0,170,36,88,582,582,0,0,0,65536,0
19,190000,10000,0,0,154,36,92,731,731,0,0,0,65536,0
20,200000,10000,0,0,154,38,93,567,567,0,0,0,65536,0
21,210000,10000,0,0,153,40,93,4096,0,0,0,0,65536,0
22,220000,10000,0,0,167,43,91,582,582,0,0,0,65536,0
23,230000,10000,0,0,176,45,91,685,685,0,0,0,65536,0
24,240000,10000,0,0,175,46,93,731,731,0,0,0,65536,0
25,250000,10000,0,0,196,48,91,731,731,0,0,0,65536,0
26,260000,10000,0,0,192,51,91,4096,0,0,0,0,65536,0
27,270000,10000,0,0,158,53,93,685,685,0,0,0,65536,0
28,280000,10000,0,0,158,54,92,4096,0,0,0,0,65536,0
29,290000,10000,0,0,164,55,93,4096,0,0,0,0,65536,0
30,300000,10000,0,0,154,57,93,685,685,0,0,0,65536,0
31,310000,10000,0,0,172,60,93,582,582,0,0,0,65536,0
32,320000,10000,0,0,180,63,91,567,567,0,0,0,65536,0
33,330000,10000,0,0,145,65,91,567,567,0,0,0,65536,0
34,340000,10000,0,0,200,67,88,4096,0,0,0,0,65536,0
35,350000,10000,0,0,149,69,82,4096,0,0,0,0,65536,0
36,360000,10000,0,0,137,69,79,4096,0,0,0,0,65536,0
37,370000,10000,0,0,134,69,73,4096,0,0,0,0,65536,0
38,380000,10000,0,0,192,69,65,4096,0,0,0,0,65536,0
39,390000,10000,0,0,225,74,61,4096,0,0,0,0,65536,0
40,400000,10000,0,0,203,75,57,4096,24,0,0,0,65536,0
41,410000,10000,0,0,209,80,56,4096,24,0,0,0,65536,0
42,420000,10000,0,0,182,83,54,4096,24,0,0,0,65536,0
43,430000,10000,0,0,195,83,54,4096,24,0,0,0,65536,0
44,440000,10000,0,0,228,88,48,4096,35,0,0,0,65536,0
45,450000,10000,0,0,202,95,45,4096,78,0,0,0,65536,0
46,460000,10000,0,0,229,97,47,4096,252,0,0,0,65536,0
47,470000,10000,0,0,224,99,46,4096,419,0,0,0,65536,0
48,480000,10000,0,0,220,105,47,4096,593,0,0,0,65536,0
49,490000,10000,0,0,215,106,48,4096,760,0,0,0,65536,0
50,500000,10000,0,0,224,107,49,4096,946,0,0,0,65536,0
51,510000,10000,0,0,201,107,50,4096,1098,0,0,0,65536,0
52,520000,10000,0,0,199,107,51,4096,1225,0,0,0,65536,0
53,530000,10000,0,0,209,108,51,4096,1370,0,0,0,65536,0
54,540000,10000,0,0,216,108,52,4096,1532,0,0,0,65536,0
55,550000,10000,0,0,190,110,52,4096,1652,0,0,0,65536,0
56,560000,10000,0,0,205,0,6,4096,1734,0,0,0,65536,0
57,570000,10000,0,0,154,5,51,4096,1747,0,0,0,65536,0
58,580000,10000,0,0,138,15,42,4096,1817,0,0,0,65536,0
59,590000,10000,0,0,256,29,45,4096,2071,0,0,0,65536,0
60,600000,10000,0,0,250,29,47,4096,2296,0,0,0,65536,0
